University;Department;Price;Discount Rate (%);Discounted Price;Discount Info
İstinye Üniversitesi;Beslenme ve Diyetetik (Fakülte);382500.0;15;382500.0;A preference discount of 15% is available (price after discount: 382500.0).
İstinye Üniversitesi;Bilgisayar Mühendisliği;446250.0;15;446250.0;A preference discount of 15% is available (price after discount: 446250.0).
İstinye Üniversitesi;Biyomedikal Mühendisliği;382500.0;15;382500.0;A preference discount of 15% is available (price after discount: 382500.0).
İstinye Üniversitesi;Çocuk Gelişimi (Fakülte);318750.0;15;318750.0;A preference discount of 15% is available (price after discount: 318750.0).
İstinye Üniversitesi;Dijital Oyun Tasarımı;414375.0;15;414375.0;A preference discount of 15% is available (price after discount: 414375.0).
İstinye Üniversitesi;Dil ve Konuşma Terapisi (Fakülte);318750.0;15;318750.0;A preference discount of 15% is available (price after discount: 318750.0).
İstinye Üniversitesi;Diş Hekimliği;535500.0;15;535500.0;A preference discount of 15% is available (price after discount: 535500.0).
İstinye Üniversitesi;Ebelik (Fakülte);318750.0;15;318750.0;A preference discount of 15% is available (price after discount: 318750.0).
İstinye Üniversitesi;Eczacılık;386750.0;15;386750.0;A preference discount of 15% is available (price after discount: 386750.0).
İstinye Üniversitesi;Ekonomi;318750.0;15;318750.0;A preference discount of 15% is available (price after discount: 318750.0).
İstinye Üniversitesi;Elektrik-Elektronik Mühendisliği;382500.0;15;382500.0;A preference discount of 15% is available (price after discount: 382500.0).
İstinye Üniversitesi;Endüstri Mühendisliği;413036.25;15;413036.25;A preference discount of 15% is available (price after discount: 413036.25).
İstinye Üniversitesi;Fizyoterapi ve Rehabilitasyon (Fakülte);382500.0;15;382500.0;A preference discount of 15% is available (price after discount: 382500.0).
İstinye Üniversitesi;Gastronomi ve Mutfak Sanatları (Fakülte);382500.0;15;382500.0;A preference discount of 15% is available (price after discount: 382500.0).
İstinye Üniversitesi;Görsel İletişim Tasarımı;267750.0;15;267750.0;A preference discount of 15% is available (price after discount: 267750.0).
İstinye Üniversitesi;Halkla İlişkiler ve Reklamcılık (Fakülte);267750.0;15;267750.0;A preference discount of 15% is available (price after discount: 267750.0).
İstinye Üniversitesi;Hemşirelik (Fakülte);382500.0;15;382500.0;A preference discount of 15% is available (price after discount: 382500.0).
İstinye Üniversitesi;İç Mimarlık ve Çevre Tasarımı;414375.0;15;414375.0;A preference discount of 15% is available (price after discount: 414375.0).
İstinye Üniversitesi;İngiliz Dili ve Edebiyatı;318750.0;15;318750.0;A preference discount of 15% is available (price after discount: 318750.0).
İstinye Üniversitesi;İngilizce Mütercim ve Tercümanlık;318750.0;15;318750.0;A preference discount of 15% is available (price after discount: 318750.0).
İstinye Üniversitesi;İşletme;318750.0;15;318750.0;A preference discount of 15% is available (price after discount: 318750.0).
İstinye Üniversitesi;Lojistik Yönetimi (%50 İndirimli);255000.0;15;255000.0;A preference discount of 15% is available (price after discount: 255000.0).
İstinye Üniversitesi;Makine Mühendisliği;382500.0;15;382500.0;A preference discount of 15% is available (price after discount: 382500.0).
İstinye Üniversitesi;Matematik;318750.0;15;318750.0;A preference discount of 15% is available (price after discount: 318750.0).
İstinye Üniversitesi;Mimarlık;382500.0;15;382500.0;A preference discount of 15% is available (price after discount: 382500.0).
İstinye Üniversitesi;Moleküler Biyoloji ve Genetik;446250.0;15;446250.0;A preference discount of 15% is available (price after discount: 446250.0).
İstinye Üniversitesi;Psikoloji;478125.0;15;478125.0;A preference discount of 15% is available (price after discount: 478125.0).
İstinye Üniversitesi;Radyo, Televizyon ve Sinema;267750.0;15;267750.0;A preference discount of 15% is available (price after discount: 267750.0).
İstinye Üniversitesi;Sağlık Yönetimi (Fakülte);255000.0;15;255000.0;A preference discount of 15% is available (price after discount: 255000.0).
İstinye Üniversitesi;Siyaset Bilimi ve Kamu Yönetimi;255000.0;15;255000.0;A preference discount of 15% is available (price after discount: 255000.0).
İstinye Üniversitesi;Tıp;637500.0;15;637500.0;A preference discount of 15% is available (price after discount: 637500.0).
İstinye Üniversitesi;Türk Dili ve Edebiyatı;229500.0;15;229500.0;A preference discount of 15% is available (price after discount: 229500.0).
İstinye Üniversitesi;Uluslararası İlişkiler;318750.0;15;318750.0;A preference discount of 15% is available (price after discount: 318750.0).
İstinye Üniversitesi;Uluslararası Ticaret ve İşletmecilik (Fakülte);318750.0;15;318750.0;A preference discount of 15% is available (price after discount: 318750.0).
İstinye Üniversitesi;Yazılım Geliştirme (%50 İndirimli);413036.25;15;413036.25;A preference discount of 15% is available (price after discount: 413036.25).
İstinye Üniversitesi;Yazılım Mühendisliği;413036.25;15;413036.25;A preference discount of 15% is available (price after discount: 413036.25).
İstinye Üniversitesi;Yeni Medya ve İletişim;267750.0;15;267750.0;A preference discount of 15% is available (price after discount: 267750.0).
